funding_id,project_id,fund_category,fund_source,amount_allocated,amount_disbursed,application_status,carbon_credits_allocated,carbon_credits_disbursed,DATE,fertilizer_kg,Commodity,unit_price,production,export
FND001,P001,Grant,FGN,5000000,2500000,Approved,2000,800,2025-01-10,50,wheat,59950,50.2,12.1
FND002,P002,Loan,World Bank,3000000,1200000,Processing,1500,400,2025-02-01,45,wheat,59950,51,13
FND003,P003,Grant,Private,2500000,2000000,Approved,500,300,2024-05-01,120,wheat,59950,50.5,12.5
FND004,P004,Grant,IFAD,4000000,1500000,Approved,1800,600,2025-03-01,60,rice,64000,52.1,13.2
FND005,P005,Loan,AfDB,6000000,3000000,Processing,2200,700,2025-01-15,30,rice,64000,53,14
FND006,P006,Grant,EU,3500000,1800000,Approved,900,400,2025-02-10,25,rice,64000,52.5,13.8
FND007,P007,Equity,Private,7000000,5000000,Approved,2500,1000,2024-04-01,35,soyabeans,65000,54,14.5
FND008,P008,Grant,UNDP,2200000,1000000,Pending,700,300,2025-03-05,15,soyabeans,65000,53.8,14.2
FND009,P009,Loan,World Bank,4800000,2000000,Processing,1600,200,2025-01-20,150,corn,68000,54.5,15
FND010,P010,Grant,FGN,3300000,2300000,Approved,1200,700,2025-02-15,90,corn,65000,55,14.8
FND011,P011,Grant,IFAD,5500000,2700000,Approved,2100,900,2025-01-25,20,corn,68000,54.7,15.2
FND012,P012,Loan,AfDB,6200000,3100000,Processing,2400,300,2025-03-12,10,sorghum,70000,55.3,15.5
FND013,P013,Grant,Private,2800000,2000000,Approved,800,500,2024-06-01,65,sorghum,71000,56,15.8
FND014,P014,Grant,EU,3900000,1400000,Approved,1700,600,2025-02-20,55,sorghum,70500,55.5,16
FND015,P015,Equity,Private,7500000,4000000,Approved,2600,1100,2025-01-30,130,cassava,45300,56.2,16.2
FND016,P016,Grant,UNDP,2400000,900000,Pending,750,100,2025-03-18,110,cassava,45400,57,16.5
FND017,P017,Loan,World Bank,4600000,1800000,Processing,1500,200,2025-01-28,40,cassava,45700,57.5,16.8
FND018,P018,Grant,FGN,3100000,2200000,Approved,1300,800,2025-02-25,18,tomato,82000,58,17
FND019,P019,Grant,IFAD,5700000,2900000,Approved,2200,950,2024-07-01,170,tomato,82100,57.8,17.2
FND020,P020,Loan,AfDB,6500000,3400000,Processing,2500,300,2025-03-22,200,tomato,82000,58.5,17.5