voucher_id,farmer_id,value_amount,issue_date,collected,agrodealer_name,redeemed_date,fertilizer_kg
V001,F001,50000,2025-01-10,Y,AgroMart Kano,2025-01-15,50
V002,F002,40000,2025-01-12,Y,Kaduna Agro Inputs,2025-01-20,45
V003,F003,35000,2025-01-15,N,AgriDepot Awka,,120
V004,F004,60000,2025-01-18,Y,Oyo Agro Hub,2025-01-25,60
V005,F005,30000,2025-01-20,N,Lagos Inputs Ltd.,,30
V006,F006,45000,2025-01-22,Y,Plateau AgroMart,2025-01-30,25
V007,F007,40000,2025-01-25,N,Niger FarmStore,,35
V008,F008,55000,2025-01-28,Y,Borno AgroDealer,2025-02-05,15
V009,F009,30000,2025-02-01,Y,Enugu Input Hub,2025-02-08,150
V010,F010,60000,2025-02-03,N,Zamfara Agro,,90
V011,F011,40000,2025-02-05,Y,Jigawa Farm Input,2025-02-12,20
V012,F012,50000,2025-02-07,Y,Cross River Agro,2025-02-14,10
V013,F013,35000,2025-02-09,N,Imo AgroStore,,65
V014,F014,45000,2025-02-11,Y,Gombe FarmMart,2025-02-18,55
V015,F015,30000,2025-02-13,N,Kwara Input Centre,,130
V016,F016,40000,2025-02-15,Y,Delta AgroDealer,2025-02-22,110
V017,F017,55000,2025-02-17,Y,Taraba Farm Hub,2025-02-24,40
V018,F018,60000,2025-02-19,N,Sokoto AgroDepot,,18
V019,F019,35000,2025-02-21,Y,Ekiti Inputs Ltd.,2025-02-28,170
V020,F020,50000,2025-02-23,Y,Benue FarmMart,2025-03-01,200