investment_id,project_id,investor_name,IRR,NPV,yield,ESG_score,disbursement_date,kpis_met,geo_lat,geo_long
INV001,P001,AgroCapital Fund,8.5,950000,7.2,85,2025-03-01,Y,11.12345,7.54321
INV002,P002,GreenInvest,10.2,750000,8,78,2025-04-15,N,9.87654,6.4321
INV003,P003,ImpactAgro Ltd,12,600000,6.5,90,2025-05-20,Y,6.78901,3.21098
INV004,P004,TerraGrowth Capital,9.3,820000,7.8,82,2025-06-05,Y,8.45678,4.56789
INV005,P005,AgriFuture Partners,11,1020000,9.1,88,2025-07-10,N,7.65432,5.6789
INV006,P006,BlueEarth Impact,7.8,540000,6,76,2025-08-15,Y,10.34567,6.78901
INV007,P007,Delta Rural Fund,13.5,1250000,9.5,91,2025-09-01,Y,4.56789,3.45678
INV008,P008,CocoaRevive Trust,9,680000,7,80,2025-09-20,N,6.23456,2.34567
INV009,P009,PalmGreen Equity,10.8,890000,8.3,84,2025-10-05,Y,5.6789,3.98765
INV010,P010,Sahel Grain Impact,8.2,720000,6.7,79,2025-10-25,N,9.12345,7.65432
INV011,P011,AquaHarvest Fund,12.7,1110000,9,87,2025-11-05,Y,11.6789,8.12345
INV012,P012,CassavaValue Capital,9.6,640000,7.3,81,2025-11-20,Y,7.4321,6.21098
INV013,P013,PoultryBoost Impact,11.4,970000,8.8,86,2025-12-01,N,8.76543,5.98765
INV014,P014,TomatoChain Fund,7.5,560000,6.2,77,2025-12-15,Y,10.21098,6.87654
INV015,P015,VeggieGrowth Equity,10.9,830000,8.1,83,2026-01-05,Y,9.54321,7.34567
INV016,P016,RiceMill Partners,13,1340000,9.6,92,2026-01-20,Y,6.87654,3.76543
INV017,P017,HoneyComb Capital,9.1,710000,7.4,80,2026-02-05,N,5.32109,4.21098
INV018,P018,GroundnutGrowth Fund,11.8,990000,8.7,85,2026-02-20,Y,7.09876,5.4321
INV019,P019,TeaPlant Impact,8.7,670000,6.9,79,2026-03-05,Y,8.21098,6.54321
INV020,P020,SmartGreenhouse Inv.,12.3,1200000,9.2,90,2026-03-20,Y,9.87654,7.89012