Year,Policy_Name,Govt_Investment_Billion_NGN,Subsidy_to_Farmers_%,Policy_Implementation_Score,Rural_Employment_%,Poverty_Reduction_%,Food_Production_Index,National_GDP_Growth_%
2010,AgriBoost,45,10,55,22,5,70,2.3
2011,AgriBoost,50,12,57,23,5.5,72,2.5
2012,AgriBoost,55,14,60,24,6,73,2.8
2013,AgriBoost,60,16,63,25,6.3,74,3
2014,GreenPolicy,65,18,66,26,6.6,76,3.3
2015,GreenPolicy,70,20,68,27,6.9,78,3.5
2016,GrowMore,75,22,70,28,7.2,80,3.7
2017,GrowMore,80,24,72,29,7.5,82,3.8
2018,AgroRise,85,26,74,30,7.7,84,4
2019,AgroRise,90,28,76,31,8,85,4.1
2020,AgroCare,95,30,78,32,8.3,86,4.2
2021,AgroCare,100,32,80,33,8.5,87,4.4
2022,FeedNation,105,34,82,34,8.7,88,4.6
2023,FeedNation,110,36,84,35,9,89,4.7
2024,FarmTech,115,38,86,36,9.2,90,4.8
2025,FarmTech,120,40,88,37,9.4,91,4.9
2026,AgroNext,125,42,90,38,9.6,92,5
2027,AgroNext,130,44,91,39,9.8,93,5.1
2028,AgroNext,135,46,92,40,10,94,5.2
2029,AgroNext,140,48,93,41,10.2,95,5.3